,bundle_set,quantity,sub_cat_3_name_en,sku_ready_required_days,packing_box_type,weight,height,length,width,manufacturer_country_en,is_weekend,any_promotion,total_price_range
1,0,1,Frozen Fish,0,FROZEN,250.0,210,150,30.0,CHINA,weekday,1,< 50
3,0,1,Frozen Fish,0,FROZEN,120.0,250,170,10.0,VIET NAM,weekday,0,< 50
16,0,1,Frozen Fish,0,FROZEN,143.0,300,120,30.0,CHINA,weekday,0,< 50
18,0,1,Frozen Fish,0,FROZEN,512.0,67,206,238.0,VIET NAM,weekday,1,< 50
19,0,1,Frozen Fish,0,FROZEN,1135.0,160,220,60.0,NORWAY,weekday,1,< 50
20,0,1,Frozen Fish,0,FROZEN,400.0,300,200,20.0,NORWAY,weekday,1,< 50
21,0,1,Frozen Fish,0,FROZEN,100.0,90,100,70.0,CHINA,weekday,0,< 50
25,0,1,Frozen Fish,0,FROZEN,250.0,300,200,20.0,VIET NAM,weekday,1,< 50
26,0,2,Frozen Fish,0,FROZEN,400.0,300,200,20.0,NORWAY,weekday,1,< 50
29,0,1,Frozen Fish,0,FROZEN,434.0,33,155,319.0,NORWAY,weekday,1,< 50
30,0,1,Frozen Fish,0,FROZEN,340.0,260,150,60.0,JAPAN,weekday,1,51-100
32,0,1,Frozen Fish,0,FROZEN,500.0,300,200,20.0,VIET NAM,weekday,1,< 50
47,0,1,Frozen Fish,0,FROZEN,270.0,230,300,20.0,GREENLAND,weekday,1,< 50
50,0,1,Frozen Fish,0,FROZEN,480.0,300,200,40.0,CHINA,weekday,1,< 50
107,0,1,Frozen Fish,0,FROZEN,300.0,270,170,5.0,CHINA,weekday,1,51-100
118,0,1,Frozen Fish,0,FROZEN,800.0,60,205,450.0,CANADA,weekday,0,101-200
119,0,1,Frozen Fish,0,FROZEN,454.0,48,222,341.0,CANADA,weekday,0,< 50
121,0,1,Frozen Fish,0,FROZEN,200.0,150,110,35.0,CHINA,weekday,0,< 50
122,0,1,Frozen Fish,0,FROZEN,340.0,250,180,20.0,UNITED STATES OF AMERICA,weekday,1,51-100
123,0,1,Frozen Fish,0,FROZEN,195.0,150,110,35.0,JAPAN,weekday,0,51-100
124,0,2,Frozen Fish,0,FROZEN,355.0,250,150,50.0,PERU,weekday,1,51-100
125,0,1,Frozen Fish,0,FROZEN,240.0,250,150,50.0,INDIA,weekday,1,< 50
126,0,1,Frozen Fish,0,FROZEN,250.0,250,180,20.0,CHINA,weekday,1,< 50
128,0,2,Frozen Fish,0,FROZEN,250.0,250,150,50.0,INDONESIA,weekday,1,51-100
130,0,1,Frozen Fish,0,FROZEN,300.0,250,150,50.0,CHINA,weekday,1,< 50
131,0,1,Frozen Fish,0,FROZEN,360.0,250,180,20.0,ICELAND,weekday,1,< 50
135,0,2,Frozen Fish,0,FROZEN,350.0,250,150,50.0,INDONESIA,weekday,1,101-200
137,0,1,Frozen Fish,0,FROZEN,800.0,400,200,80.0,INDONESIA,weekday,1,51-100
139,0,1,Frozen Fish,0,FROZEN,240.0,200,200,40.0,NORWAY,weekday,1,< 50
148,0,5,Frozen Fish,0,FROZEN,400.0,250,150,50.0,CHINA,weekday,1,101-200
152,0,3,Frozen Fish,0,FROZEN,270.0,150,110,35.0,CHINA,weekday,1,< 50
170,0,1,Frozen Fish,0,FROZEN,280.0,200,150,30.0,CHINA,weekday,1,< 50
172,0,1,Frozen Fish,0,FROZEN,200.0,250,150,50.0,INDONESIA,weekday,0,51-100
199,0,1,Frozen Fish,0,FROZEN,300.0,300,250,30.0,ICELAND,weekday,1,< 50
200,0,1,Frozen Fish,0,FROZEN,350.0,150,110,35.0,VIET NAM,weekday,0,< 50
214,0,2,Frozen Fish,0,FROZEN,500.0,400,230,10.0,NORWAY,weekday,1,201-300
218,0,1,Frozen Fish,0,FROZEN,500.0,130,120,50.0,CHINA,weekday,0,< 50
226,0,2,Frozen Fish,0,FROZEN,500.0,350,200,20.0,NORWAY,weekday,1,201-300
227,0,1,Frozen Fish,0,FROZEN,410.0,280,250,30.0,JAPAN,weekday,0,101-200
229,0,2,Frozen Fish,0,FROZEN,125.0,290,120,20.0,JAPAN,weekday,1,< 50
231,0,1,Frozen Fish,0,FROZEN,200.0,100,80,40.0,JAPAN,weekday,1,101-200
237,0,1,Frozen Fish,0,FROZEN,350.0,400,170,10.0,NORWAY,weekday,1,101-200
248,0,1,Frozen Fish,0,FROZEN,160.0,200,150,10.0,CHINA,weekday,1,< 50
252,0,1,Frozen Fish,0,FROZEN,300.0,130,80,30.0,CHINA,weekday,0,< 50
265,0,1,Frozen Fish,0,FROZEN,280.0,200,250,180.0,CANADA,weekday,1,< 50
266,0,1,Frozen Fish,0,FROZEN,300.0,200,200,200.0,JAPAN,weekday,0,< 50
267,0,1,Frozen Fish,0,FROZEN,440.0,200,250,180.0,NEW ZEALAND,weekday,0,< 50
269,0,1,Frozen Fish,0,FROZEN,480.0,200,250,180.0,NORWAY,weekday,1,101-200
270,0,1,Frozen Fish,0,FROZEN,330.0,90,250,80.0,CHINA,weekday,1,51-100
271,0,1,Frozen Fish,0,FROZEN,350.0,250,150,50.0,NORWAY,weekday,0,< 50
272,0,1,Frozen Fish,0,FROZEN,500.0,50,200,60.0,CHINA,weekday,1,< 50
274,0,2,Frozen Fish,0,FROZEN,120.0,250,150,30.0,AUSTRALIA,weekday,0,101-200
276,0,1,Frozen Fish,0,FROZEN,300.0,150,180,70.0,SINGAPORE,weekday,0,51-100
277,0,1,Frozen Fish,0,FROZEN,600.0,250,150,80.0,UNITED STATES OF AMERICA,weekday,1,301-400
278,0,1,Frozen Fish,0,FROZEN,750.0,200,200,200.0,CHINA,weekday,1,101-200
280,0,1,Frozen Fish,0,FROZEN,1500.0,400,300,50.0,VIET NAM,weekday,0,201-300
281,0,1,Frozen Fish,0,FROZEN,500.0,180,120,50.0,NORWAY,weekday,1,< 50
285,0,3,Frozen Fish,0,FROZEN,200.0,170,190,25.0,NEW ZEALAND,weekday,1,301-400
288,0,1,Frozen Fish,0,FROZEN,100.0,300,175,3.0,UK/SCOTLAND,weekday,1,51-100
292,0,1,Frozen Fish,0,FROZEN,1000.0,350,200,100.0,CHILE,weekday,1,51-100
296,0,1,Frozen Fish,0,FROZEN,500.0,70,150,200.0,NORWAY,weekday,1,51-100
297,0,1,Frozen Fish,0,FROZEN,350.0,100,100,100.0,UNITED STATES OF AMERICA,weekday,1,< 50
303,0,3,Frozen Fish,0,FROZEN,400.0,100,100,100.0,CANADA,weekday,1,101-200
307,0,1,Frozen Fish,0,FROZEN,340.0,100,100,100.0,CHINA,weekday,1,< 50
312,0,1,Frozen Fish,0,FROZEN,500.0,100,100,100.0,VIET NAM,weekday,1,< 50
313,0,2,Frozen Fish,0,FROZEN,240.0,300,180,180.0,JAPAN,weekday,1,51-100
314,0,1,Frozen Fish,0,FROZEN,300.0,300,200,200.0,JAPAN,weekday,0,< 50
315,0,1,Frozen Fish,0,FROZEN,300.0,300,180,180.0,JAPAN,weekday,1,< 50
317,0,2,Frozen Fish,0,FROZEN,180.0,300,180,180.0,KOREA,weekday,1,101-200
318,0,1,Frozen Fish,0,FROZEN,80.0,300,180,180.0,JAPAN,weekday,1,< 50
319,0,1,Frozen Fish,0,FROZEN,120.0,300,180,180.0,JAPAN,weekday,1,< 50
321,0,1,Frozen Fish,0,FROZEN,300.0,120,80,80.0,NORWAY,weekday,0,< 50
325,0,1,Frozen Fish,0,FROZEN,450.0,300,180,180.0,JAPAN,weekday,1,< 50
326,0,1,Frozen Fish,0,FROZEN,215.0,300,180,180.0,JAPAN,weekday,0,< 50
327,0,1,Frozen Fish,0,FROZEN,120.0,240,180,20.0,CHINA,weekday,0,< 50
328,0,1,Frozen Fish,0,FROZEN,100.0,300,100,25.0,CHINA,weekday,1,< 50
329,0,1,Frozen Fish,0,FROZEN,200.0,220,100,30.0,CHINA,weekday,1,< 50
330,0,1,Frozen Fish,0,FROZEN,90.0,280,135,20.0,CHINA,weekday,0,FREE
332,0,2,Frozen Fish,0,FROZEN,130.0,240,110,20.0,CHINA,weekday,1,< 50
335,0,2,Frozen Fish,0,FROZEN,300.0,200,200,50.0,VIET NAM,weekday,0,201-300
345,0,1,Frozen Fish,0,FROZEN,100.0,220,100,30.0,CANADA,weekday,0,< 50
348,0,1,Frozen Fish,0,FROZEN,250.0,220,100,20.0,CHINA,weekday,1,< 50
358,0,1,Frozen Fish,0,FROZEN,400.0,150,100,50.0,NORWAY,weekday,1,51-100
361,0,1,Frozen Fish,0,FROZEN,350.0,150,100,50.0,VIET NAM,weekday,0,< 50
362,0,1,Frozen Fish,0,FROZEN,300.0,50,200,200.0,GREENLAND,weekday,0,51-100
363,0,1,Frozen Fish,0,FROZEN,450.0,60,130,85.0,CHINA,weekday,1,< 50
364,0,1,Frozen Fish,0,FROZEN,454.0,35,260,200.0,NEW ZEALAND,weekday,1,< 50
366,0,2,Frozen Fish,0,FROZEN,140.0,15,220,160.0,UNITED STATES OF AMERICA,weekday,0,< 50
370,0,2,Frozen Fish,0,FROZEN,450.0,35,260,200.0,NORWAY,weekday,1,101-200
371,0,1,Frozen Fish,0,FROZEN,454.0,30,260,200.0,NORWAY,weekday,1,101-200
385,0,2,Frozen Fish,0,FROZEN,300.0,247,165,90.0,JAPAN,weekday,1,51-100
386,0,1,Frozen Fish,0,FROZEN,488.0,31,279,240.0,CANADA,weekday,0,< 50
388,0,1,Frozen Fish,0,FROZEN,294.0,35,194,160.0,CANADA,weekday,0,< 50
391,0,4,Frozen Fish,0,FROZEN,356.0,40,203,178.0,VIETNAM,weekday,1,101-200
392,0,1,Frozen Fish,0,FROZEN,300.0,220,160,40.0,CANADA,weekday,1,< 50
394,0,1,Frozen Fish,0,FROZEN,224.0,49,118,253.0,CHINA,weekday,0,< 50
402,0,2,Frozen Fish,0,FROZEN,464.0,76,220,97.0,NORWAY,weekday,0,101-200
403,0,2,Frozen Fish,0,FROZEN,466.0,28,229,231.0,NORWAY,weekday,0,101-200
405,0,2,Frozen Fish,0,FROZEN,331.0,185,135,20.0,USA,weekday,0,201-300
409,0,1,Frozen Fish,0,FROZEN,500.0,220,160,40.0,NORWAY,weekday,0,101-200
410,0,2,Frozen Fish,0,FROZEN,280.0,40,230,160.0,CHINA,weekday,1,101-200
414,0,1,Frozen Fish,0,FROZEN,340.0,220,160,40.0,CHINA,weekday,0,< 50
415,0,4,Frozen Fish,0,FROZEN,370.0,53,187,256.0,VIETNAM,weekday,1,101-200
424,0,1,Frozen Fish,0,FROZEN,544.0,38,212,257.0,VIETNAM,weekday,1,< 50
427,0,2,Frozen Fish,0,FROZEN,420.0,210,160,35.0,CHINA,weekday,0,101-200
435,0,1,Frozen Fish,0,FROZEN,326.0,29,226,159.0,THAILAND,weekday,1,< 50
443,0,1,Frozen Fish,0,FROZEN,394.0,51,298,212.0,VIETNAM,weekday,1,< 50
463,0,2,Frozen Fish,0,FROZEN,462.0,80,191,134.0,CHINA,weekday,0,101-200
493,0,2,Frozen Fish,0,FROZEN,400.0,250,200,50.0,NORWAY,weekday,1,101-200
562,0,1,Frozen Fish,0,FROZEN,270.0,190,280,30.0,JAPAN,weekday,1,< 50
825,0,3,Frozen Fish,0,FROZEN,386.0,36,281,223.0,VIETNAM,weekday,0,101-200
1000,0,2,Frozen Fish,0,FROZEN,320.0,240,260,50.0,CHINA,weekday,0,< 50
1001,0,2,Frozen Fish,0,FROZEN,350.0,200,370,80.0,TAIWAN,weekday,1,< 50
1002,0,1,Frozen Fish,0,FROZEN,300.0,210,300,150.0,CHILE,weekday,1,< 50
1005,0,1,Frozen Fish,0,FROZEN,150.0,140,200,30.0,JAPAN,weekday,1,< 50
1007,0,1,Frozen Fish,0,FROZEN,325.0,200,100,30.0,MALAYSIA,weekday,1,< 50
1008,0,2,Frozen Fish,0,FROZEN,454.0,300,250,50.0,CANADA,weekday,1,101-200
1012,0,1,Frozen Fish,0,FROZEN,100.0,250,180,30.0,NORWAY,weekday,0,< 50
1013,0,1,Frozen Fish,0,FROZEN,120.0,150,200,40.0,JAPAN,weekday,1,< 50
1031,0,1,Frozen Fish,0,FROZEN,130.0,40,110,90.0,CHINA,weekday,0,FREE
1033,0,1,Frozen Fish,0,FROZEN,150.0,30,130,85.0,CHINA,weekday,1,FREE
1034,0,1,Frozen Fish,0,FROZEN,150.0,50,110,80.0,CHINA,weekday,1,FREE
1035,0,1,Frozen Fish,0,FROZEN,150.0,35,130,105.0,CHINA,weekday,1,FREE
1036,0,1,Frozen Fish,0,FROZEN,155.0,20,130,85.0,CHINA,weekday,1,FREE
1037,0,1,Frozen Fish,0,FROZEN,150.0,20,130,95.0,CHINA,weekday,0,FREE
1055,0,2,Frozen Fish,0,FROZEN,150.0,60,170,60.0,CHINA,weekday,0,< 50
1066,0,1,Frozen Fish,0,FROZEN,166.0,22,120,100.0,OTHERS,weekday,0,FREE
1113,0,1,Frozen Fish,0,FROZEN,120.0,8,170,130.0,CHINA,weekday,1,< 50
1173,0,1,Frozen Fish,0,FROZEN,650.0,300,250,30.0,KOREA,weekday,1,101-200
1174,0,1,Frozen Fish,0,FROZEN,400.0,150,100,50.0,NORWAY,weekday,0,51-100
1175,0,1,Frozen Fish,0,FROZEN,100.0,100,100,100.0,TAIWAN,weekday,1,51-100
1176,0,1,Frozen Fish,0,FROZEN,450.0,350,200,300.0,TAIWAN,weekday,1,101-200
1177,0,1,Frozen Fish,0,FROZEN,200.0,150,120,10.0,CHINA,weekday,0,< 50
1178,0,1,Frozen Fish,0,FROZEN,150.0,70,50,20.0,CHINA,weekday,1,< 50
1179,0,1,Frozen Fish,0,FROZEN,300.0,160,400,10.0,CHINA,weekday,1,51-100
1181,0,3,Frozen Fish,0,FROZEN,220.0,70,50,10.0,CHINA,weekday,1,< 50
1204,0,1,Frozen Fish,0,FROZEN,500.0,200,300,50.0,CHINA,weekday,1,51-100
1205,0,1,Frozen Fish,0,FROZEN,1100.0,350,250,100.0,THAILAND,weekday,1,101-200
1206,0,1,Frozen Fish,0,FROZEN,250.0,220,150,70.0,CHINA,weekday,1,< 50
1207,0,1,Frozen Fish,0,FROZEN,200.0,300,200,50.0,CHINA,weekday,0,< 50
1208,0,1,Frozen Fish,0,FROZEN,250.0,300,100,50.0,CHINA,weekday,1,< 50
1210,0,1,Frozen Fish,0,FROZEN,400.0,160,100,100.0,JAPAN,weekday,1,101-200
1211,0,1,Frozen Fish,0,FROZEN,100.0,200,200,50.0,JAPAN,weekday,1,51-100
1215,0,1,Frozen Fish,0,FROZEN,100.0,300,200,50.0,NORWAY,weekday,1,< 50
1216,0,1,Frozen Fish,0,FROZEN,500.0,20,185,320.0,NORWAY,weekday,1,101-200
1218,0,1,Frozen Fish,0,FROZEN,400.0,230,190,40.0,NORWAY,weekday,1,51-100
1222,0,1,Frozen Fish,0,FROZEN,500.0,200,200,50.0,NORWAY,weekday,1,101-200
1223,0,1,Frozen Fish,0,FROZEN,320.0,220,220,50.0,UNITED STATES OF AMERICA,weekday,1,51-100
1228,0,1,Frozen Fish,0,FROZEN,200.0,300,200,30.0,UNITED STATES OF AMERICA,weekday,0,< 50
1230,0,2,Frozen Fish,0,FROZEN,100.0,200,100,50.0,CANADA/CHINA,weekday,0,51-100
1232,0,2,Frozen Fish,0,FROZEN,600.0,300,200,50.0,CHINA,weekday,1,101-200
1233,0,4,Frozen Fish,0,FROZEN,480.0,300,200,50.0,CHINA,weekday,0,201-300
1235,0,2,Frozen Fish,0,FROZEN,250.0,260,200,50.0,CHINA,weekday,0,51-100
1243,0,1,Frozen Fish,0,FROZEN,635.0,300,200,50.0,KOREA,weekday,1,51-100
1259,0,1,Frozen Fish,0,FROZEN,100.0,250,30,150.0,CANADA,weekday,1,< 50
1260,0,3,Frozen Fish,0,FROZEN,100.0,200,30,100.0,CHINA,weekday,0,101-200
1261,0,1,Frozen Fish,0,FROZEN,600.0,250,220,40.0,NORWAY,weekday,1,FREE
1262,0,2,Frozen Fish,0,FROZEN,120.0,200,50,80.0,JAPAN,weekday,0,< 50
1265,0,1,Frozen Fish,0,FROZEN,180.0,200,50,150.0,CHINA,weekday,1,FREE
1269,0,1,Frozen Fish,0,FROZEN,440.0,200,320,30.0,NEW ZEALAND,weekday,0,< 50
1270,0,1,Frozen Fish,0,FROZEN,350.0,250,150,80.0,CHINA,weekday,0,< 50
1271,0,2,Frozen Fish,0,FROZEN,100.0,200,100,50.0,CHINA,weekday,0,51-100
1272,0,1,Frozen Fish,0,FROZEN,650.0,200,150,60.0,JAPAN,weekday,0,101-200
1276,0,1,Frozen Fish,0,FROZEN,80.0,200,150,30.0,NORWAY,weekday,1,FREE
1277,0,2,Frozen Fish,0,FROZEN,300.0,200,130,80.0,NORWAY,weekday,0,< 50
1284,0,1,Frozen Fish,0,FROZEN,80.0,200,100,100.0,JAPAN,weekday,1,< 50
1286,0,1,Frozen Fish,0,FROZEN,500.0,200,50,120.0,CHINA,weekday,0,101-200
1288,0,1,Frozen Fish,0,FROZEN,2000.0,300,200,300.0,CHINA,weekday,0,401-500
1303,0,1,Frozen Fish,0,FROZEN,180.0,300,80,20.0,CHINA,weekday,1,51-100
1304,0,3,Frozen Fish,0,FROZEN,1000.0,300,120,20.0,JAPAN,weekday,1,101-200
1307,0,1,Frozen Fish,0,FROZEN,500.0,625,220,20.0,NORWAY,weekday,0,101-200
1308,0,1,Frozen Fish,0,FROZEN,1000.0,300,230,40.0,PORTUGAL,weekday,1,< 50
1310,0,2,Frozen Fish,0,FROZEN,300.0,270,170,30.0,UNITED STATES OF AMERICA,weekday,0,51-100
1318,0,1,Frozen Fish,0,FROZEN,400.0,200,350,30.0,CANADA,weekday,1,101-200
1321,0,1,Frozen Fish,0,FROZEN,1000.0,200,350,30.0,UNITED STATES OF AMERICA,weekday,1,101-200
1323,0,1,Frozen Fish,0,FROZEN,450.0,140,240,50.0,JAPAN,weekday,0,201-300
1324,0,1,Frozen Fish,0,FROZEN,130.0,140,240,50.0,JAPAN,weekday,1,51-100
1325,0,2,Frozen Fish,0,FROZEN,300.0,100,100,60.0,NORWAY,weekday,1,< 50
1326,0,1,Frozen Fish,0,FROZEN,360.0,150,100,40.0,NORWAY,weekday,1,51-100
1327,0,1,Frozen Fish,0,FROZEN,300.0,100,100,60.0,NORWAY,weekday,1,< 50
1328,0,1,Frozen Fish,0,FROZEN,1000.0,100,230,50.0,JAPAN,weekday,1,101-200
1329,0,1,Frozen Fish,0,FROZEN,200.0,150,200,60.0,CHINA,weekday,1,51-100
1331,0,1,Frozen Fish,0,FROZEN,85.0,150,200,60.0,CANADA,weekday,1,< 50
1333,0,1,Frozen Fish,0,FROZEN,300.0,100,230,50.0,JAPAN,weekday,1,< 50
1336,0,1,Frozen Fish,0,FROZEN,440.0,180,100,30.0,NEW ZEALAND,weekday,1,< 50
1338,0,1,Frozen Fish,0,FROZEN,100.0,150,200,20.0,CHILE,weekday,1,< 50
1339,0,1,Frozen Fish,0,FROZEN,250.0,100,230,50.0,JAPAN,weekday,1,< 50
1343,0,1,Frozen Fish,0,FROZEN,100.0,150,200,60.0,CHINA,weekday,1,< 50
1347,0,2,Frozen Fish,0,FROZEN,320.0,150,200,60.0,CANADA,weekday,1,101-200
1350,0,2,Frozen Fish,0,FROZEN,225.0,200,200,50.0,CHINA,weekday,1,51-100
1351,0,1,Frozen Fish,0,FROZEN,300.0,120,350,50.0,CHINA,weekday,1,101-200
1358,0,1,Frozen Fish,0,FROZEN,142.0,300,100,40.0,NORWAY,weekday,1,FREE
1360,0,4,Frozen Fish,0,FROZEN,400.0,200,160,60.0,CANADA,weekday,1,601-700
1361,0,1,Frozen Fish,0,FROZEN,300.0,270,180,40.0,UNITED STATES OF AMERICA,weekday,1,101-200
1363,0,1,Frozen Fish,0,FROZEN,340.0,250,150,50.0,INDONESIA,weekday,1,< 50
1364,0,1,Frozen Fish,0,FROZEN,165.0,180,150,30.0,CANADA,weekday,1,101-200
1365,0,1,Frozen Fish,0,FROZEN,375.0,120,100,30.0,HONG KONG,weekday,1,101-200
1366,0,1,Frozen Fish,0,FROZEN,450.0,120,100,30.0,HONG KONG,weekday,1,101-200
1367,0,1,Frozen Fish,0,FROZEN,450.0,100,120,30.0,HONG KONG,weekday,0,51-100
1368,0,1,Frozen Fish,0,FROZEN,370.0,100,120,30.0,HONG KONG,weekday,1,51-100
1375,0,1,Frozen Fish,0,FROZEN,525.0,120,100,30.0,HONG KONG,weekday,1,101-200
1378,0,1,Frozen Fish,0,FROZEN,700.0,300,200,80.0,HONG KONG,weekday,1,101-200
1380,0,1,Frozen Fish,0,FROZEN,205.0,200,150,50.0,HONG KONG,weekday,1,101-200
1387,0,1,Frozen Fish,0,FROZEN,340.0,80,80,20.0,NORWAY,weekday,1,< 50
1388,0,2,Frozen Fish,0,FROZEN,400.0,80,60,30.0,GREENLAND,weekday,1,101-200
1390,0,1,Frozen Fish,0,FROZEN,320.0,50,250,150.0,CANADA,weekday,1,< 50
1391,0,1,Frozen Fish,0,FROZEN,300.0,30,330,140.0,CHINA,weekday,0,< 50
1393,0,2,Frozen Fish,0,FROZEN,600.0,80,250,320.0,PHILIPPINES,weekday,1,< 50
1394,0,1,Frozen Fish,0,FROZEN,400.0,30,300,235.0,CHILE,weekday,0,< 50
1398,0,1,Frozen Fish,0,FROZEN,1100.0,60,260,250.0,CHINA,weekday,0,< 50
1399,0,1,Frozen Fish,0,FROZEN,500.0,40,210,160.0,CHINA,weekday,1,< 50
1404,0,1,Frozen Fish,0,FROZEN,1000.0,60,260,250.0,CHINA,weekday,1,< 50
1407,0,1,Frozen Fish,0,FROZEN,740.0,300,350,200.0,NETHERLANDS,weekday,0,51-100
1408,0,1,Frozen Fish,0,FROZEN,300.0,100,80,20.0,VIET NAM,weekday,1,< 50
1409,0,1,Frozen Fish,0,FROZEN,900.0,300,350,200.0,NORWAY,weekday,1,< 50
1412,0,2,Frozen Fish,0,FROZEN,250.0,150,100,30.0,VIET NAM,weekday,1,< 50
1416,0,1,Frozen Fish,0,FROZEN,1500.0,300,350,200.0,NORWAY,weekday,1,51-100
1418,0,1,Frozen Fish,0,FROZEN,250.0,250,200,50.0,NETHERLANDS,weekday,1,< 50
1422,0,1,Frozen Fish,0,FROZEN,350.0,300,250,50.0,TAIWAN,weekday,1,< 50
1430,0,1,Frozen Fish,0,FROZEN,240.0,200,150,50.0,NETHERLANDS,weekday,1,< 50
1437,0,2,Frozen Fish,0,FROZEN,80.0,100,100,20.0,JAPAN,weekday,0,< 50
1442,0,1,Frozen Fish,0,FROZEN,1100.0,300,350,200.0,JAPAN,weekday,1,201-300
1470,0,1,Frozen Fish,0,FROZEN,170.0,150,100,100.0,CHILE,weekday,1,< 50
1502,0,1,Frozen Fish,0,FROZEN,320.0,150,150,80.0,TAIWAN,weekday,1,< 50
1554,0,1,Frozen Fish,0,FROZEN,1000.0,250,300,50.0,UNITED STATES OF AMERICA,weekday,1,101-200
1560,0,1,Frozen Fish,0,FROZEN,894.0,300,350,200.0,UNITED STATES OF AMERICA,weekday,1,51-100
1568,0,1,Frozen Fish,0,FROZEN,250.0,200,150,50.0,JAPAN,weekday,1,201-300
1586,0,1,Frozen Fish,0,FROZEN,300.0,170,150,30.0,TAIWAN,weekday,1,< 50
1595,0,1,Frozen Fish,0,FROZEN,300.0,200,150,40.0,JAPAN,weekday,0,51-100
1610,0,1,Frozen Fish,0,FROZEN,220.0,130,110,30.0,GREENLAND,weekday,1,< 50
1678,0,1,Frozen Fish,0,FROZEN,380.0,150,300,90.0,JAPAN,weekday,1,< 50
1680,0,1,Frozen Fish,0,FROZEN,500.0,35,220,170.0,JAPAN,weekday,1,301-400
1681,0,1,Frozen Fish,0,FROZEN,200.0,50,280,170.0,TAIWAN,weekday,1,< 50
1683,0,1,Frozen Fish,0,FROZEN,950.0,40,170,200.0,JAPAN,weekday,1,201-300
1684,0,1,Frozen Fish,0,FROZEN,85.0,290,185,3.0,CANADA,weekday,1,< 50
1685,0,1,Frozen Fish,0,FROZEN,400.0,145,180,55.0,CANADA,weekday,0,101-200
1686,0,1,Frozen Fish,0,FROZEN,85.0,290,185,3.0,CANADA,weekday,0,< 50
1689,0,1,Frozen Fish,0,FROZEN,165.0,145,180,35.0,CANADA,weekday,1,101-200
1690,0,1,Frozen Fish,0,FROZEN,350.0,60,210,140.0,NORWAY,weekday,1,< 50
1692,0,1,Frozen Fish,0,FROZEN,1000.0,30,290,270.0,PORTUGAL,weekday,1,51-100
1693,0,1,Frozen Fish,0,FROZEN,100.0,5,255,170.0,SCOTLAND,weekday,1,< 50
1694,0,2,Frozen Fish,0,FROZEN,220.0,20,310,170.0,TAIWAN,weekday,1,101-200
1695,0,1,Frozen Fish,0,FROZEN,1000.0,40,350,170.0,JAPAN,weekday,1,101-200
1705,0,2,Frozen Fish,0,FROZEN,200.0,40,180,80.0,SPAIN,weekday,0,301-400
1706,0,1,Frozen Fish,0,FROZEN,100.0,5,150,250.0,SCOTLAND,weekday,1,< 50
1708,0,4,Frozen Fish,0,FROZEN,160.0,5,300,200.0,SCOTLAND,weekday,1,501-600
1710,0,2,Frozen Fish,0,FROZEN,100.0,5,150,250.0,SCOTLAND,weekday,0,101-200
1714,0,1,Frozen Fish,0,FROZEN,900.0,90,265,215.0,RUSSIA/HONG KONG,weekday,0,101-200
1716,0,1,Frozen Fish,0,FROZEN,100.0,20,180,240.0,CANADA,weekday,1,< 50
1717,0,1,Frozen Fish,0,FROZEN,440.0,100,100,100.0,NEW ZEALAND,weekday,1,< 50
1718,0,3,Frozen Fish,0,FROZEN,500.0,100,100,100.0,NORWAY,weekday,0,201-300
1720,0,1,Frozen Fish,0,FROZEN,300.0,100,100,100.0,UNITED STATES OF AMERICA,weekday,1,51-100
1728,0,2,Frozen Fish,0,FROZEN,140.0,100,100,100.0,NEW ZEALAND,weekday,1,101-200
1730,0,1,Frozen Fish,0,FROZEN,300.0,60,200,40.0,HONG KONG,weekday,1,51-100
1731,0,1,Frozen Fish,0,FROZEN,200.0,200,300,30.0,HONG KONG,weekday,1,101-200
1732,0,1,Frozen Fish,0,FROZEN,150.0,210,140,30.0,MALAYSIA,weekday,0,< 50
1733,0,1,Frozen Fish,0,FROZEN,350.0,250,160,30.0,JAPAN,weekday,0,< 50
1734,0,2,Frozen Fish,0,FROZEN,300.0,150,150,30.0,MALAYSIA,weekday,1,< 50
1735,0,1,Frozen Fish,0,FROZEN,200.0,215,160,20.0,ICELAND,weekday,1,< 50
1736,0,1,Frozen Fish,0,FROZEN,600.0,150,150,50.0,MALAYSIA,weekday,1,< 50
1738,0,2,Frozen Fish,0,FROZEN,320.0,240,190,20.0,CANADA,weekday,0,101-200
1739,0,1,Frozen Fish,0,FROZEN,600.0,150,150,50.0,MALAYSIA,weekday,1,< 50
1740,0,1,Frozen Fish,0,FROZEN,200.0,210,140,30.0,SINGAPORE,weekday,1,< 50
1750,0,1,Frozen Fish,0,FROZEN,600.0,150,150,50.0,MALAYSIA,weekday,1,< 50
1752,0,1,Frozen Fish,0,FROZEN,300.0,40,260,190.0,MALAYSIA,weekday,1,< 50
1756,0,1,Frozen Fish,0,FROZEN,170.0,210,140,30.0,SINGAPORE,weekday,0,< 50
1759,0,1,Frozen Fish,0,FROZEN,300.0,40,230,190.0,MALAYSIA,weekday,1,< 50
1764,0,1,Frozen Fish,0,FROZEN,300.0,40,255,195.0,MALAYSIA,weekday,1,< 50
1768,0,1,Frozen Fish,0,FROZEN,500.0,200,100,50.0,UNITED STATES OF AMERICA,weekday,0,101-200
1769,0,1,Frozen Fish,0,FROZEN,400.0,210,100,50.0,ICELAND,weekday,1,51-100
1771,0,2,Frozen Fish,0,FROZEN,200.0,100,100,100.0,UNITED KINGDOM,weekday,0,51-100
