,bundle_set,quantity,sub_cat_3_name_en,sku_ready_required_days,packing_box_type,weight,height,length,width,manufacturer_country_en,is_weekend,any_promotion,total_price_range
40024,0,1,Frozen Seashell,0,FROZEN,360.0,300,300,200.0,ICELAND,weekday,1,< 50
40028,0,2,Frozen Seashell,0,FROZEN,120.0,210,140,20.0,CHINA,weekday,1,101-200
40039,0,1,Frozen Seashell,0,FROZEN,1000.0,180,150,50.0,CANADA,weekday,1,201-300
40114,0,1,Frozen Seashell,0,FROZEN,400.0,220,100,30.0,CHINA,weekday,0,< 50
40615,0,2,Frozen Seashell,0,FROZEN,600.0,210,180,65.0,TAIWAN,weekday,1,101-200
40616,0,1,Frozen Seashell,0,FROZEN,1000.0,260,190,40.0,JAPAN,weekday,1,101-200
40620,0,1,Frozen Seashell,0,FROZEN,300.0,140,240,50.0,OTHERS,weekday,1,101-200
40621,0,1,Frozen Seashell,0,FROZEN,180.0,140,240,50.0,OTHERS,weekday,1,51-100
40628,0,1,Frozen Seashell,0,FROZEN,454.0,280,250,50.0,CANADA,weekday,1,< 50
40629,0,1,Frozen Seashell,0,FROZEN,454.0,250,210,50.0,CHILE,weekday,1,< 50
40630,0,1,Frozen Seashell,0,FROZEN,454.0,250,210,50.0,CHILE,weekday,1,< 50
40691,0,1,Frozen Seashell,0,FROZEN,500.0,100,300,300.0,CHINA,weekday,0,< 50
40699,0,1,Frozen Seashell,0,FROZEN,500.0,300,200,40.0,VIET NAM,weekday,1,< 50
40712,0,1,Frozen Seashell,0,FROZEN,1000.0,270,170,50.0,NEW ZEALAND,weekday,1,101-200
40722,0,1,Frozen Seashell,0,FROZEN,454.0,100,100,50.0,CHILE,weekday,0,< 50
40727,0,1,Frozen Seashell,0,FROZEN,350.0,150,120,40.0,CHINA,weekday,0,201-300
40926,0,1,Other Frozen Seafood,0,FROZEN,200.0,400,300,25.0,INDONESIA,weekday,1,< 50
40980,0,2,Other Frozen Seafood,0,FROZEN,500.0,300,170,150.0,HONG KONG,weekday,1,601-700
40985,0,1,Other Frozen Seafood,0,FROZEN,454.0,300,200,100.0,VIET NAM,weekday,1,< 50
41003,0,1,Other Frozen Seafood,0,FROZEN,160.0,200,100,100.0,CHINA,weekday,1,< 50
41116,0,1,Other Frozen Seafood,0,FROZEN,300.0,50,250,180.0,CHINA,weekday,1,101-200
41118,0,1,Other Frozen Seafood,0,FROZEN,800.0,175,210,140.0,CANADA,weekday,1,301-400
41120,0,1,Other Frozen Seafood,0,FROZEN,180.0,180,200,70.0,CANADA,weekday,1,51-100
41127,0,1,Other Frozen Seafood,0,FROZEN,110.0,250,300,100.0,AUSTRALIA,weekday,1,101-200
41249,0,1,Frozen Fish,0,FROZEN,400.0,200,200,100.0,UNITED STATES OF AMERICA,weekday,0,101-200
41278,0,2,Frozen Fish,0,FROZEN,250.0,250,150,50.0,AUSTRALIA,weekday,1,201-300
41342,0,1,Frozen Fish,0,FROZEN,500.0,300,180,180.0,JAPAN,weekday,1,< 50
41348,0,1,Frozen Fish,0,FROZEN,250.0,220,30,100.0,MALAYSIA,weekday,1,FREE
42043,0,1,Frozen Fish,0,FROZEN,600.0,40,290,250.0,FRANCE,weekday,1,101-200
42135,0,1,Frozen Fish,0,FROZEN,170.0,200,250,20.0,KOREA,weekday,0,51-100
42145,0,1,Frozen Fish,0,FROZEN,280.0,260,180,50.0,AUSTRALIA,weekday,0,101-200
42152,0,1,Frozen Fish,0,FROZEN,650.0,160,100,100.0,NORWAY,weekday,0,< 50
42181,0,1,Frozen Fish,0,FROZEN,250.0,260,200,50.0,CHINA,weekday,1,< 50
42189,0,1,Frozen Fish,0,FROZEN,250.0,100,50,80.0,JAPAN,weekday,1,101-200
42200,0,1,Frozen Fish,0,FROZEN,650.0,250,150,80.0,JAPAN,weekday,1,51-100
42208,0,1,Frozen Fish,0,FROZEN,100.0,200,150,40.0,JAPAN,weekday,1,51-100
42210,0,2,Frozen Fish,0,FROZEN,300.0,150,70,70.0,NORWAY,weekday,0,101-200
42212,0,1,Frozen Fish,0,FROZEN,1000.0,215,165,20.0,CANADA,weekday,1,< 50
42224,0,1,Frozen Fish,0,FROZEN,300.0,200,350,30.0,NORWAY,weekday,1,< 50
42262,0,2,Frozen Fish,0,FROZEN,320.0,120,100,30.0,HONG KONG,weekday,0,301-400
42273,0,1,Frozen Fish,0,FROZEN,310.0,100,120,30.0,CHINA,weekday,1,< 50
42474,0,1,Frozen Fish,0,FROZEN,500.0,60,210,140.0,NORWAY,weekday,1,< 50
42493,0,6,Frozen Fish,0,FROZEN,200.0,200,300,30.0,HONG KONG,weekday,1,701-800
42506,0,1,Frozen Fish,0,FROZEN,180.0,210,140,30.0,MALAYSIA,weekday,1,FREE
42514,0,1,Frozen Fish,0,FROZEN,300.0,100,100,100.0,UNITED KINGDOM,weekday,1,< 50
42519,0,1,Frozen Fish,0,FROZEN,2000.0,500,200,80.0,JAPAN,weekday,1,501-600
42547,0,4,Frozen Fish,0,FROZEN,250.0,30,330,200.0,INDONESIA,weekday,0,101-200
42550,0,1,Frozen Fish,0,FROZEN,400.0,330,195,20.0,INDONESIA,weekday,0,< 50
42552,0,1,Frozen Fish,0,FROZEN,290.0,180,140,35.0,MALAYSIA,weekday,0,< 50
42556,0,1,Frozen Fish,0,FROZEN,170.0,100,100,30.0,ICELAND,weekday,0,< 50
42778,0,1,Frozen Fish,0,FROZEN,280.0,300,200,30.0,FRANCE,weekday,0,201-300
42790,0,1,Frozen Fish,0,FROZEN,500.0,400,270,30.0,CHINA,weekday,0,< 50
43700,0,1,Frozen Shrimp and Crab,0,FROZEN,500.0,180,100,60.0,JAPAN,weekday,0,< 50
43713,0,1,Frozen Shrimp and Crab,0,FROZEN,1600.0,200,300,80.0,AUSTRALIA,weekday,0,501-600
43834,0,1,Frozen Shrimp and Crab,0,FROZEN,250.0,300,200,150.0,THAILAND,weekday,0,< 50
43848,0,1,Frozen Shrimp and Crab,0,FROZEN,150.0,100,100,40.0,HONG KONG,weekday,0,< 50
43850,0,2,Frozen Shrimp and Crab,0,FROZEN,600.0,100,150,70.0,KOREA,weekday,0,101-200
43853,0,2,Frozen Shrimp and Crab,0,FROZEN,250.0,150,200,60.0,CANADA,weekday,0,101-200
43856,0,1,Frozen Shrimp and Crab,0,FROZEN,300.0,150,150,150.0,VIET NAM,weekday,1,51-100
43866,0,1,Frozen Shrimp and Crab,0,FROZEN,850.0,45,270,205.0,CHINA,weekday,1,51-100
43881,0,1,Frozen Shrimp and Crab,0,FROZEN,500.0,120,200,100.0,KOREA,weekday,0,51-100
43882,0,1,Frozen Shrimp and Crab,0,FROZEN,500.0,60,240,180.0,JAPAN,weekday,0,201-300
43892,0,1,Frozen Shrimp and Crab,0,FROZEN,160.0,100,100,100.0,VIET NAM,weekday,0,< 50
43899,0,1,Frozen Shrimp and Crab,0,FROZEN,200.0,30,140,110.0,HONG KONG,weekday,1,< 50
43911,0,1,Frozen Shrimp and Crab,0,FROZEN,30.0,200,150,100.0,THAILAND,weekday,0,< 50
44128,0,1,Frozen Shrimp and Crab,0,FROZEN,750.0,45,270,190.0,CHINA,weekday,0,51-100
44448,0,1,Frozen Shrimp and Crab,0,FROZEN,500.0,300,170,30.0,MALAYSIA,weekday,1,51-100
44453,0,1,Frozen Seashell,0,FROZEN,220.0,240,150,40.0,UNITED ARAB EMIRATES,weekday,1,101-200
44456,0,1,Frozen Seashell,0,FROZEN,150.0,150,100,50.0,JAPAN,weekday,0,< 50
44461,0,1,Frozen Seashell,0,FROZEN,500.0,350,300,250.0,VIET NAM,weekday,0,101-200
44463,0,2,Frozen Seashell,0,FROZEN,500.0,200,180,120.0,JAPAN/CHINA,weekday,1,301-400
44465,0,1,Frozen Seashell,0,FROZEN,500.0,250,200,100.0,VIET NAM,weekday,1,51-100
44466,0,1,Frozen Seashell,0,FROZEN,1000.0,300,250,100.0,VIET NAM,weekday,0,101-200
44880,0,1,Frozen Seashell,0,FROZEN,1000.0,300,250,50.0,JAPAN,weekday,0,101-200
